,会社名,URL,タイトル,経験,技術領域,形式,言語タグ,本文
132,ヤフー,https://about.yahoo.co.jp/hr/internship/1974/,広告 スキルマッチするチームに参加し実践的開発課題に挑戦,,,体験,JavaScript,"【概要】
ヤフーのビジネスの柱である広告は、ユーザーに情報を届けるためのものであるとともに、大手企業から個人事業主の方まで幅広い広告主が広告宣伝を行うプラットフォームでもあります。
そのため、広告主のニーズを満たすために日々改善が続けられています。
健全な広告を維持するために効率的な審査を行えるようAIを活用したり、多くのユーザーがYahoo! JAPANのページを開いたときでもきちんと広告が表示できるような膨大なトラフィック処理を実現するために、フロントエンドからバックエンド、ビッグデータなどのサイエンス領域まで幅広い技術に支えられています。
本コースでは広告に関するさまざまな課題をご用意しており、参加いただく方のスキルに合ったチームで、普段ヤフーのエンジニアが行っているシステム開発を経験できます。

【内容（例）】
・スマートフォン向けの広告SDK、関連アプリ、ツールの開発
・JavaScriptを使ったデザイン関連の開発
・広告審査の部門からフィードバックされた改善要望の開発
・Yahoo!広告ヘルプサイトの開発
・広告配信時のユーザーデータ利活用の仕組みの開発

参考：
「成長したいエンジニアに知ってほしい、マーケティングコンサルタント・広瀬信輔とヤフーMSC開発本部長・小沼剛が語るアドテクの魅力」
「インターネット広告の未来は僕らが現場で切り拓く！ ヤフーのアドテクエンジニア3部長が語る座談会」"
133,Chatwork株式会社,https://hrmos.co/pages/chatwork/jobs/1020104/apply,増枠！忘れられない夏、Scalaエンジニアサマーインターンシップ'20,,,体験,,"Chatwork のコーポレートミッション 
「働くをもっと楽しく、創造的に」を体験！

オンライン開催となりますので全国からサマーインターン生を募集します。

今回のテーマは、「一歩先の働き方に挑戦する」です。

実際に働くことを体験してもらうため、インターン生同士でチームを組み、1つのものを作り上げてもらう体験型の形式です。 
プログラミング言語 Scala をつかって実際に開発をおこなっていただきますので、これまで何かしらのプログラミング言語で開発をおこなったことがある方を優遇します。

【バックエンド (Scala)コース】
課題となるサービスへの新規機能開発を、DDD を用いた要求分析・設計を行い、プログラミング言語 Scala をつかってバックエンドのWeb API 実装を、チームで協力しながら行います。

インターンシップ中は、Chatwork で活躍中のエンジニアからアドバイスを受けながら、開発を進めていきます。

こんなキーワードが気になる方：
エンジニアの働き方，チーム開発，Web開発，DDD，Scala

[開催期間]
2020年8月17日（月）〜 2020年9月4日（金）平日のみ15日間
・前半5日間：講義
・後半10日間：チーム開発での業務(給与支給対象)

[応募期間]
書類締め切り：2020年7月10日（金）

[選考期間]
2020年7月13日（金）〜2020年7月17日（金）
にてこちらが指定する日時に面談を受けて頂きます。
枠が限られておりますので、調整が難しい際は申し訳ありませんが、ご辞退にて承りますので御留意ください。

［給与］
日給 8000円（後半10日間の業務に支給）"
134,LeapMind Inc. ,https://hrmos.co/pages/leapmind/jobs/000,[サマーインターン] Deep Learningエンジニアコース,,,体験,"C,Python","以下のようなプロジェクトがあります。プロジェクトにより、技術的な難易度や取り組む範囲は様々です。

Blueoil (OSS)の開発
1. コンパイラの最適化（グラフ分割、メモリ割り当てなど）
必要なスキル：C ++、アルゴリズムとデータ構造の深い知識（例：AtCoder 2200+）

2. Blueoilを使用して、バイナリ量子化された表情認識モデルを構築する
3. Blueoilを使用して軽量のキーポイント検出モデルを構築する
必要なスキル：Pythonの基礎、CSの知識（学部レベル）

4. Blueoilを使用して軽量のキーポイント検出モデルを構築する
5. データをトレーニングせずに知識を抽出します。失敗した場合は、小さなトレーニングデータを使用します
必要なスキル：Pythonの基礎、CSの知識（学部レベル）、ディープラーニング
機械学習・深層学習の手法・モデル開発
6. 画像/動画の異常検出モデルを実装する
7. オブジェクト検出、セマンティックセグメンテーション、ポーズ推定などのタスクにCNNを実装します。
必要なスキル：Pythonの基本、機械学習の基本
インフラストラクチャー
8. kubeflowシステムを構築し、Blueoil、PyTorchワークフローを実装する
必要なスキル：Kubernetes、Docker、Linux
歓迎スキル： Tensorflow / Pytorch"
135,モルフォ,https://open.talentio.com/1/c/morphoinc/requisitions/detail/5676,"Internship *Year-round internship program
",,,体験,,"興味のある事と期間に応じてテーマを決定し、最終日に研究成果の発表をします。 主な研究領域は画像処理、画像認識（ディープラーニング）です。

過去のテーマ例：

GANを用いて雨画像から雨を除去
ドキュメントから影を除去するアルゴリズムの開発+アンドロイドアプリの作成
Kaggle（The 2nd YouTube-8M Video Understanding Challenge）
Tucker分解を用いたConvolution kernelの低ランク近似
Real-time Multiple Object Tracking(MOT) based on YOLO9000 and GOTURN
特定ドメイン向けの超解像 及び他ドメインへの転移学習
FocusPeakingアプリ
Deep Learningを用いた物体検出／物体検出モデルのスマホアプリ実装
インスタグラムのフィルターを再現する
GANを用いて虫食い画像を復元する
Deep Image Matting／人物、背景セグメンテーション
四隅検出
depthデータ付き画像のエフェクト加工
画像のエッジ検出／ディザ法によるハーフトーン処理／ステンドグラス風の画像エフェクト
ピクセル化／色調補正"
136,株式会社タンバリン,"▼1dayインターン募集（こちらよりエントリーください）
https://www.wantedly.com/projects/479109

【その他】
▼公式note「tambourine magazine」
https://note.mu/mmmxmmm/m/m7338b08ddd48
▼タンバリン公式メディア一覧
https://linktr.ee/tambourine_inc",オンライン開催！1dayインターンシップ｜モブプログラミングを体験しよう！,,,体験,,"「zoom」を用いて、モブプログラミングを体験していただきます！

【モブプログラミングとは？】
複数名で1台のPC・ディスプレイを共有しコードを書いていく開発手法です。
アメリカの Hunter Industries社が 2012年頃に始めたといわれており、
業界的にも注目されている開発手法です。

【今回の1dayインターンシップを通して学べること 】
・現場の最前線で活躍する当社エンジニアや一緒に開発するメンバーと知識や経験を共有できる。
・レベルに関わらず全員が同じ課題に触れるので、他者の解決方法を知ることで自分に抜けている視点に気づき、成長のヒントを得ることができる。
・フラットに意見を言い合う環境下でコードを書いていくので、自分の最大知を引き出しながらチームで協働する経験を得ることができる。
・メンバー一丸となって課題を解決する、チーム開発の醍醐味を体感できる。

▼実践では、1チーム4〜5人に分かれて、zoomで画面共有しながら、全員でコードを書いていただきます。（お題は当日発表）"
137,株式会社タンバリン,"▼3daysインターン募集（こちらよりエントリーください）
https://www.wantedly.com/projects/497370

【その他】
▼公式note「tambourine magazine」
https://note.mu/mmmxmmm/m/m7338b08ddd48
▼タンバリン公式メディア一覧
https://linktr.ee/tambourine_inc",3days Webエンジニアインターン｜チーム開発を体験しよう！ #1,,,体験,,"タンバリンでは、3日間の短期インターンシップをオンラインで開催します！

【概要】
インターン生でチームを組み、タンバリンのデザイナーが作った画面デザインをもとにWebサービスの開発をしていただきます。
　・はじめにWebサービスの全体感について説明します。
　・その後、チームに分かれて開発を行っていただきます。
　・各チームでタンバリンのエンジニアがメンターを担当し、随時レビュー・フィードバックを行います。
　・最終日は成果発表を行っていただきます。

【今回のインターンシップを通して学べること 】
・現場の最前線で活躍する当社エンジニアや一緒に開発するメンバーと知識や経験を共有できる。
・レベルに関わらず全員が同じ課題に触れるので、他者の解決方法を知ることで自分に抜けている視点に気づき、成長のヒントを得ることができる。
・ メンバーで一丸となって課題を解決する、チーム開発の醍醐味を体感できる。"
138,株式会社アウトソーシングテクノロジー,エントリーはこちらから https://www.ostechgroup-recruit.jp/intern/docs/online-internship2022ss.pdf   下記リクナビからも応募可能 https://job.rikunabi.com/2022/company/r644110049/internship/,https://www.ostechgroup-recruit.jp/intern/docs/online-internship2022ss.pdf,,,体験,,"【概要】
僕たちはどう生きるか
100人の現役エンジニアから選ぶ、
僕たちのオンライン体験。
コンセプトは、ニューノーマル時代において「新しい働き方の価値観」とは。オンラインでありながら個々が成長を「体感」できるプログラムです。現役エンジニア１００人からチョイスして話が聞ける「トークタイム」、今後の採用動向や、マンツーマンでの「就活講座」など、多様な人材を抱えるOSTechだからできる充実したメニューとなっています。
3days/1day選択制"
139,株式会社ウェザーニューズ,https://jp.weathernews.com/internship/,Online Tech Internship,,,体験,,"【概要】
実際の課題・タスクに取り組む、就業型のプログラムです。はじめに、会社見学や事業内容、課題の理解を深めていただいたのち、実テーマで研究や開発業務にチャレンジしていただきます。期間終了時には成果発表、各部門からのフィードバックを実施します。社員・参加者との懇親会も予定しています。30年以上のサービス実績にもとづく気象と周辺ビジネスのビッグデータに触れ、開発成果をビジネスにつなげる体験を持ち帰ってください。

・データサイエンスコース
　水位予測、電力需要予測、商品売り上げ予測などを題材に、気象分野でのBtoBサービスとしてのデータ分析・情報提供を体験します。

・プロダクトマネジメントコース
　プロダクトを開発する上で計画から要件定義、プロトタイピングまでの一連の流れを10日間の実習を通して体験します。

開催方法： オンライン（ZoomまたはMeetを利用して行います）"
140,株式会社ZOZOテクノロジーズ,https://tech.zozo.com/recruit/2022intern/,いつでもどこでもインターン ~ONLINE INTERNSHIP 2022 NEW GRADUATE~,,,体験,,"【いつでもどこでもインターン】
いつでも、どこでも参加できるフルリモート「就業型インターン」です。
インターン応募期間は約１年間。
その間、好きなタイミングで、最長２週間参加することができます。
学校にいながら、実家にいながら、好きな時間に、好きな場所で、
フルリモートでも本番環境やデータに携わる経験ができる「案件リスト」をご用意しました。
"
141,株式会社ゆめみ,https://hrmos.co/pages/yumemi/jobs/0000502,世界的Ｗebサービスを手掛けるゆめみでiOSアプリ開発！,,iOS,体験,Swift,"私たちゆめみは、日本の誰もが知る大手企業からの依頼を受けて、Webサービスを始め、圧倒的なダウンロード数を誇るスマホアプリ開発も行っています。

今回はそうしたスマホアプリ開発プロジェクトに参加し、エンジニアとしての業務を体験して頂きます！
今回のプログラムは、iOSスマホアプリの開発インターン。
iOS Swift の開発経験ある方が対象となります。（インターン生には、アプリ専門チームに入り、キャッシュレス決済アプリやマッチングアプリなど様々なアプリの開発を行なっていただきます）

多数の優秀なエンジニアも在籍、エンジニアのスキルアップも積極的にサポートしながら、社外研修などで新たに習得した技術などは社内SNSで共有されるので、インターン生一緒に勉強可能です。
一流のITエンジニアに求められる保守性、拡張性の高いコードの書き方を、コードレビューを通じて学んでみませんか？

プログラミングに集中して取り組みたい方、大手企業のアプリ開発にチャレンジしてみたい方、ITエンジニアリングやモノづくりが好きな方などなど、ぜひご参加お待ちしています！"
142,株式会社ゆめみ,https://hrmos.co/pages/yumemi/jobs/0000521,世界的Ｗebサービスを手掛けるゆめみでAndroidアプリ開発！,,,体験,Kotlin,"私たちゆめみは、日本の誰もが知る大手企業からの依頼を受けて、Webサービスを始め、圧倒的なダウンロード数を誇るスマホアプリ開発も行っています。

今回はそうしたスマホアプリ開発プロジェクトに参加し、エンジニアとしての業務を体験して頂きます！
今回のプログラムは、Androidスマホアプリの開発インターン。
Android Kotlinの開発経験ある方が対象となります。（インターン生には、アプリ専門チームに入り、キャッシュレス決済アプリやマッチングアプリなど様々なアプリの開発を行なっていただきます）

多数の優秀なエンジニアも在籍、エンジニアのスキルアップも積極的にサポートしながら、社外研修などで新たに習得した技術などは社内SNSで共有されるので、インターン生一緒に勉強可能です。
一流のITエンジニアに求められる保守性、拡張性の高いコードの書き方を、コードレビューを通じて学んでみませんか？

プログラミングに集中して取り組みたい方、大手企業のアプリ開発にチャレンジしてみたい方、ITエンジニアリングやモノづくりが好きな方などなど、ぜひご参加お待ちしています！"
143,株式会社ミクシィ,https://mixi-recruit.snar.jp/jobboard/detail.aspx?id=u9bViH4HG1Y2bJJ-QfCxkw,【1day】TDD challenge #5 ONLINE （テスト駆動開発ワークショップ）,,,体験,,"ミクシィの新入社員研修で、毎年受講者から大変好評の「テスト駆動開発研修」のコンテンツを、
「TDD challenge」と題して、ご提供する特別な1day技術ワークショップを今回はオンライン形式で開催します。

*TDD=test-driven development

テスト／設計については学ぶ機会が少ないですが、実際のサービス開発では必要になります。現場エンジニア社員の講師・チューターのサポートを受けながら、ペアプログラミングを通してスキルアップを目指しましょう！"
144,株式会社ゆめみ,https://hrmos.co/pages/yumemi/jobs/0000523,最前線で活躍するエンジニアと共に、開発を体験！,,,体験,,"私たちゆめみは、日本の誰もが知る大手企業からの依頼を受けて、Webサービスを始め、圧倒的なダウンロード数を誇るスマホアプリ開発も行っています。

今回は最前線で活躍するエンジニアと共に、開発を体験して頂きます！
今回のプログラムはAPI仕様を理解した上でのAPI設計やCI構築など、多数の優秀なエンジニアも在籍、エンジニアのスキルアップも積極的にサポートしながら、社外研修などで新たに習得した技術などは社内SNSで共有されるので、インターン生一緒に勉強可能です。
一流のITエンジニアに求められる保守性、拡張性の高いコードの書き方を、コードレビューを通じて学んでみませんか？

プログラミングに集中して取り組みたい方、大手企業のアプリ開発にチャレンジしてみたい方、ITエンジニアリングやモノづくりが好きな方などなど、ぜひご参加お待ちしています！"
